2025-04-20 17:27:53 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-20 17:27:53 | razer                          | INFO     | Serving DBus
2025-04-20 21:08:13 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-20 23:04:27 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1414
2025-04-20 23:04:27 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-20 23:04:27 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-20 23:04:27 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-20 23:04:27 | razer                          | INFO     | Serving DBus
2025-04-21 00:39:03 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 10:47:20 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1412
2025-04-21 10:47:20 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 10:47:20 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 10:47:20 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 10:47:20 | razer                          | INFO     | Serving DBus
2025-04-21 11:14:46 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:18:42 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1261
2025-04-21 11:18:42 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:18:42 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:18:42 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:18:42 | razer                          | INFO     | Serving DBus
2025-04-21 11:19:59 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:27:21 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1265
2025-04-21 11:27:21 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:27:21 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:27:21 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:27:21 | razer                          | INFO     | Serving DBus
2025-04-21 11:28:23 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:30:44 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1272
2025-04-21 11:30:44 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:30:44 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:30:44 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:30:44 | razer                          | INFO     | Serving DBus
2025-04-21 11:32:43 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:33:54 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1227
2025-04-21 11:33:54 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:33:54 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:33:54 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:33:54 | razer                          | INFO     | Serving DBus
2025-04-21 11:34:18 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:36:00 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1246
2025-04-21 11:36:00 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:36:00 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:36:00 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:36:00 | razer                          | INFO     | Serving DBus
2025-04-21 11:45:13 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:46:40 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1248
2025-04-21 11:46:40 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:46:40 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:46:40 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:46:40 | razer                          | INFO     | Serving DBus
2025-04-21 11:49:42 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:50:49 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1237
2025-04-21 11:50:49 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:50:49 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:50:49 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:50:49 | razer                          | INFO     | Serving DBus
2025-04-21 11:51:04 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:51:16 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1359
2025-04-21 11:51:16 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:51:16 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:51:16 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:51:16 | razer                          | INFO     | Serving DBus
2025-04-21 11:51:41 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 11:52:00 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1501
2025-04-21 11:52:00 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 11:52:00 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 11:52:00 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 11:52:00 | razer                          | INFO     | Serving DBus
2025-04-21 12:26:52 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 12:27:52 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1248
2025-04-21 12:27:52 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 12:27:52 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 12:27:52 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 12:27:52 | razer                          | INFO     | Serving DBus
2025-04-21 12:38:30 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 12:39:51 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1252
2025-04-21 12:39:51 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 12:39:51 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 12:39:51 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 12:39:51 | razer                          | INFO     | Serving DBus
2025-04-21 17:00:18 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-21 17:06:16 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1231
2025-04-21 17:06:16 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-21 17:06:16 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-21 17:06:16 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-21 17:06:16 | razer                          | INFO     | Serving DBus
2025-04-21 21:44:15 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-22 00:00:04 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1242
2025-04-22 00:00:04 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-22 00:00:04 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000B
2025-04-22 00:00:04 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-22 00:00:04 | razer                          | INFO     | Serving DBus
2025-04-22 01:48:26 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-22 01:49:26 | razer                          | INFO     | Initialising Daemon (v3.10.2). Pid: 1289
2025-04-22 01:49:26 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
